,category,brand_name,name,price,rating,url,num_review
94,Face Brushes,tarte,The Slenderizer Bamboo Contour Brush,$34.00,4.0993,http://www.sephora.com/the-slenderizer-bamboo-contouring-brush-P385763,272
95,Face Brushes,MAKE UP FOR EVER,120 Medium Powder Fan Brush,$31.00,4.7778,http://www.sephora.com/120-medium-powder-fan-brush-P382428,9
96,Face Brushes,Bésame Cosmetics,Boudoir Short Hair Contour Brush,$48.00,4.75,http://www.sephora.com/boudoir-short-hair-contour-brush-P396821,21
97,Face Brushes,COVER FX,Powder Brush,$42.00,4.8788,http://www.sephora.com/powder-brush-P376617,33
98,Face Brushes,NARS,Blush Brush #20,$42.00,4.8182,http://www.sephora.com/blush-brush-20-P391325,11
99,Face Brushes,SEPHORA COLLECTION,PRO Angled Contour Brush #75,$32.00,4.4944,http://www.sephora.com/pro-angled-contour-brush-75-P313014,181
100,Face Brushes,tarte,Double-Ended Camouflage Tool,$36.00,3.8824,http://www.sephora.com/double-ended-camouflage-tool-P385754,20
101,Face Brushes,Dior,Professional Finish Fluid Foundation Brush - Full Coverage,$46.00,4.5517,http://www.sephora.com/professional-finish-fluid-foundation-brush-full-coverage-P379922,29
102,Face Brushes,SEPHORA COLLECTION,PRO Contour Highlight Brush #80,$34.00,4.069,http://www.sephora.com/pro-contour-highlight-brush-80-P395101,30
103,Face Brushes,bareMinerals,Smoothing Foundation Brush,$28.00,3.381,http://www.sephora.com/smoothing-foundation-brush-P393357,84
104,Face Brushes,SEPHORA COLLECTION,Sparkle & Shine Classic Mini Multitasker Brush #45.5,$14.00,4.9,http://www.sephora.com/sparkle-shine-classic-mini-multitasker-brush-45-5-P412583,11
105,Face Brushes,stila,One Step Complexion Brush #33,$32.00,4.6703,http://www.sephora.com/one-step-complexion-brush-33-P269020,92
106,Face Brushes,MAKE UP FOR EVER,160 Blush Brush,$44.00,4.4118,http://www.sephora.com/160-blush-brush-P382409,17
107,Face Brushes,Bésame Cosmetics,Boudoir Long Hair Finishing Powder Brush,$50.00,4.72,http://www.sephora.com/boudoir-long-hair-finishing-powder-brush-P396822,25
108,Face Brushes,bareMinerals,Handy Buki Brush,$20.00,4.3771,http://www.sephora.com/handy-buki-brush-P166111,526
109,Face Brushes,SEPHORA COLLECTION,Classic Sheer Complexion #11,$12.00,4.5333,http://www.sephora.com/classic-sheer-complexion-11-P395333,15
110,Face Brushes,Hourglass,Powder Brush No. 1,$65.00,4.75,http://www.sephora.com/powder-brush-no-1-P297710,24
111,Face Brushes,KEVYN AUCOIN,The Large Powder Brush,$75.00,5.0,http://www.sephora.com/the-large-powder-brush-P404816,1
112,Face Brushes,Urban Decay,Diffusing Highlighter Brush,$32.00,4.8,http://www.sephora.com/diffusing-highlighter-brush-P410553,5
113,Face Brushes,tarte,Double-ended Cheek & Lip Brush,$34.00,5.0,http://www.sephora.com/double-ended-cheek-lip-brush-P409982,null
114,Face Brushes,SEPHORA COLLECTION,PRO Airbrush Sweep #53,$38.00,4.7381,http://www.sephora.com/pro-full-coverage-airbrush-53-P386623,253
115,Face Brushes,BECCA,The One Perfecting Brush,$49.00,3.6458,http://www.sephora.com/the-one-perfecting-brush-P382936,273
116,Face Brushes,Urban Decay,Diffusing Blush Brush,$32.00,4.2,http://www.sephora.com/diffusing-blush-brush-P410554,5
117,Face Brushes,Bobbi Brown,Foundation Brush,$45.00,4.4554,http://www.sephora.com/foundation-brush-P270557,112
118,Face Brushes,Hourglass,Finishing Brush No. 7,$65.00,4.7703,http://www.sephora.com/finishing-brush-no-7-P193248,74
119,Face Brushes,bareMinerals,Complexion Perfector Foundation & Concealer Brush,$26.00,3.75,http://www.sephora.com/complexion-perfector-foundation-concealer-brush-P396523,4
120,Face Brushes,SEPHORA COLLECTION,PRO Mini Airbrush Sweep #53.5,$24.00,4.7288,http://www.sephora.com/pro-mini-full-coverage-airbrush-53-5-P395553,59
121,Face Brushes,Black Up,Flat Top Foundation Brush,$38.50,5.0,http://www.sephora.com/flat-top-foundation-brush-P400901,6
122,Face Brushes,tarte,Rainforest Of The Sea™ Color Correcting Brush,$24.00,4.4545,http://www.sephora.com/rainforest-the-sea-color-correcting-brush-P405098,23
123,Face Brushes,SEPHORA COLLECTION,PRO Liquid Foundation #63,$32.00,4.2553,http://www.sephora.com/pro-liquid-foundation-63-P404043,47
124,Face Brushes,Hourglass,Retractable Foundation Brush,$46.00,4.2985,http://www.sephora.com/retractable-foundation-brush-P231040,68
125,Face Brushes,surratt beauty,Artistique Highlight Brush,$115.00,5.0,http://www.sephora.com/artistique-highlight-brush-P394814,1
126,Face Brushes,NARS,Cream Blending Brush #12,$28.00,3.9091,http://www.sephora.com/cream-blending-brush-12-P386048,11
127,Face Brushes,SEPHORA COLLECTION,PRO Stippling Brush #44,$35.00,2.8498,http://www.sephora.com/pro-stippling-brush-44-P313013,214
128,Face Brushes,Hourglass,Foundation/Blush Brush No. 2,$58.00,4.4696,http://www.sephora.com/foundation-blush-brush-no-2-P193244,116
129,Face Brushes,KEVYN AUCOIN,The Blush Brush,$48.00,4.75,http://www.sephora.com/the-blush-brush-P404818,5
130,Face Brushes,blendSMART,blendSMART2 Powder Brush,$26.00,5.0,http://www.sephora.com/powder-brush-P407475,2
131,Face Brushes,MAKE UP FOR EVER,152 Medium Highlighter Brush,$37.00,4.5455,http://www.sephora.com/152-medium-highlighter-brush-P382388,11
132,Face Brushes,Urban Decay,Flat Optical Blurring Brush,$32.00,4.0,http://www.sephora.com/flat-optical-blurring-brush-P410550,7
133,Face Brushes,bareMinerals,Dual-Finish Blush & Contour Brush,$26.00,4.4286,http://www.sephora.com/dual-finish-blush-contour-brush-P396521,7
134,Face Brushes,SEPHORA COLLECTION,Classic Double Ended - Multitasker & Concealer #202,$30.00,5.0,http://www.sephora.com/multitasker-face-concealer-brush-202-P414674,2
135,Face Brushes,MAKE UP FOR EVER,106 Medium Foundation Brush,$36.00,4.8,http://www.sephora.com/106-medium-foundation-brush-P382433,16
136,Face Brushes,Bobbi Brown,Bronzer Brush,$58.00,3.5636,http://www.sephora.com/bronzer-brush-P270576,55
137,Face Brushes,SEPHORA COLLECTION,PRO Press Full Coverage Complexion Brush #66,$36.00,4.5368,http://www.sephora.com/pro-press-full-coverage-complexion-brush-66-P404231,191
138,Face Brushes,SEPHORA COLLECTION,PRO Precision Blush Brush #73,$32.00,4.1009,http://www.sephora.com/pro-precision-blush-brush-73-P313018,109
139,Face Brushes,bareMinerals,Buff & Go Retractable Face Brush,$22.00,4.0508,http://www.sephora.com/buff-go-retractable-face-brush-P273404,59
140,Face Brushes,SEPHORA COLLECTION,Color At Every Turn Retractable,$22.00,3.5,http://www.sephora.com/color-at-every-turn-retractable-P382538,20
141,Face Brushes,Urban Decay,Contour Definition Brush,$32.00,4.75,http://www.sephora.com/contour-definition-brush-P410555,5
142,Face Brushes,bareMinerals,Blooming Blush Brush,$24.00,3.6,http://www.sephora.com/blooming-blush-brush-P396522,25
