,category,brand_name,name,price,rating,num_review,score,word,dfidf
111,Face Masks,Origins,Clear Improvement® Active Charcoal Mask to Clear Pores,$4.0,4.3336,2825.0,709.25,cleared,0.14084487888436745
112,Face Masks,Origins,Clear Improvement® Active Charcoal Mask to Clear Pores,$4.0,4.3336,2825.0,709.25,charcoal,0.463410090886754
113,Face Masks,Origins,Clear Improvement® Active Charcoal Mask to Clear Pores,$4.0,4.3336,2825.0,709.25,blackheads,0.5764268465694582
114,Face Masks,Origins,Clear Improvement® Active Charcoal Mask to Clear Pores,$4.0,4.3336,2825.0,709.25,masks,0.3412137869923041
115,Face Masks,GLAMGLOW,YOUTHMUD™ Tinglexfoliate Treatment,$22.0,4.0597,1938.0,496.5,masks,0.3293329256970707
116,Face Masks,GLAMGLOW,YOUTHMUD™ Tinglexfoliate Treatment,$22.0,4.0597,1938.0,496.5,mud,0.2888508868597199
117,Face Masks,GLAMGLOW,YOUTHMUD™ Tinglexfoliate Treatment,$22.0,4.0597,1938.0,496.5,tingling,0.3107702330425535
118,Face Masks,GLAMGLOW,YOUTHMUD™ Tinglexfoliate Treatment,$22.0,4.0597,1938.0,496.5,tingle,0.37117152187361385
119,Face Masks,GLAMGLOW,YOUTHMUD™ Tinglexfoliate Treatment,$22.0,4.0597,1938.0,496.5,sensation,0.2564770975984092
120,Face Masks,KORRES,Wild Rose + Vitamin C Advanced Brightening Sleeping Facial,$48.00,4.2492,1483.0,395.75,korres,0.29049423081048414
121,Face Masks,KORRES,Wild Rose + Vitamin C Advanced Brightening Sleeping Facial,$48.00,4.2492,1483.0,395.75,roses,0.2662828675233542
122,Face Masks,KORRES,Wild Rose + Vitamin C Advanced Brightening Sleeping Facial,$48.00,4.2492,1483.0,395.75,rose,0.6971463235564007
123,Face Masks,KORRES,Wild Rose + Vitamin C Advanced Brightening Sleeping Facial,$48.00,4.2492,1483.0,395.75,wild,0.17664292628820755
124,Face Masks,KORRES,Wild Rose + Vitamin C Advanced Brightening Sleeping Facial,$48.00,4.2492,1483.0,395.75,sleeping,0.21704442196788087
125,Lipstick,Kat Von D,Everlasting Liquid Lipstick,$20.00,4.305,10138.0,2545.5,lipsticks,0.3892339433931376
126,Lipstick,Kat Von D,Everlasting Liquid Lipstick,$20.00,4.305,10138.0,2545.5,colors,0.19995545495731235
127,Lipstick,Kat Von D,Everlasting Liquid Lipstick,$20.00,4.305,10138.0,2545.5,lipstick,0.5929350515304542
128,Lipstick,Kat Von D,Everlasting Liquid Lipstick,$20.00,4.305,10138.0,2545.5,lips,0.471412220615152
129,Lipstick,Kat Von D,Everlasting Liquid Lipstick,$20.00,4.305,10138.0,2545.5,lip,0.21177461983010853
130,Lipstick,SEPHORA COLLECTION,Cream Lip Stain,$7.0,4.3426,6158.0,1544.0,lip,0.4630818284429787
131,Lipstick,SEPHORA COLLECTION,Cream Lip Stain,$7.0,4.3426,6158.0,1544.0,lipstick,0.3927889507376607
132,Lipstick,SEPHORA COLLECTION,Cream Lip Stain,$7.0,4.3426,6158.0,1544.0,lips,0.4379344212726584
133,Lipstick,SEPHORA COLLECTION,Cream Lip Stain,$7.0,4.3426,6158.0,1544.0,stain,0.3365216810386462
134,Lipstick,SEPHORA COLLECTION,Cream Lip Stain,$7.0,4.3426,6158.0,1544.0,colors,0.279099856666126
135,Lipstick,NARS,Lipstick,$28.00,4.437,6015.0,1518.75,lipsticks,0.22991388498447354
136,Lipstick,NARS,Lipstick,$28.00,4.437,6015.0,1518.75,nars,0.25142278842457877
137,Lipstick,NARS,Lipstick,$28.00,4.437,6015.0,1518.75,lipstick,0.7633222399611006
138,Lipstick,NARS,Lipstick,$28.00,4.437,6015.0,1518.75,lips,0.3355585218503853
139,Lipstick,NARS,Lipstick,$28.00,4.437,6015.0,1518.75,lip,0.21837039493329796
140,Lipstick,NARS,Velvet Matte Lip Pencil,$27.00,4.4782,4282.0,1085.0,pencil,0.5067492941327577
141,Lipstick,NARS,Velvet Matte Lip Pencil,$27.00,4.4782,4282.0,1085.0,lip,0.5439844887911438
142,Lipstick,NARS,Velvet Matte Lip Pencil,$27.00,4.4782,4282.0,1085.0,nars,0.1708373304541614
