,category,brand_name,name,price,rating,url,num_review
8133,Face Primer,Cinema Secrets,Moisture Spray + Hydrating Mist,$22.00,4.1,http://www.sephora.com/moisture-spray-hydrating-mist-P403810,11.0
8134,Face Primer,Natasha Denona,Lifting Primer Anti-Aging Serum,$60.00,2.6,http://www.sephora.com/lifting-primer-anti-aging-serum-P411824,5.0
8135,Eye Palettes,Anastasia Beverly Hills,Modern Renaissance Eye Shadow Palette,$42.00,4.8266,http://www.sephora.com/modern-renaissance-eye-shadow-palette-P409118,4049.0
8136,Eye Palettes,Too Faced,Sweet Peach Eye Shadow Collection Palette,$49.00,4.5288,http://www.sephora.com/sweet-peach-eye-shadow-collection-palette-P407907,1426.0
8137,Eye Palettes,tarte,Tarteist™ Pro Amazonian Clay Palette,$53.00,4.3391,http://www.sephora.com/tarteist-pro-amazonian-clay-palette-P413177,511.0
8138,Eye Palettes,Urban Decay,Naked3 Palette,$54.00,4.4349,http://www.sephora.com/naked3-P384099,5476.0
8139,Eye Palettes,tarte,Tartelette In Bloom Clay Eyeshadow Palette,$46.00,4.7233,http://www.sephora.com/tartelette-in-bloom-clay-eyeshadow-palette-P403812,1838.0
8140,Eye Palettes,Urban Decay,Full Spectrum Palette,$35.00,3.7083,http://www.sephora.com/full-spectrum-palette-P412340,330.0
8141,Eye Palettes,Smashbox,Cover Shot: Eye Palettes,$29.00,4.6093,http://www.sephora.com/cover-shot-eye-palettes-P19267373,488.0
8142,Eye Palettes,Urban Decay,Naked2 Palette,$54.00,4.6603,http://www.sephora.com/naked2-P302916,6545.0
8143,Eye Palettes,Urban Decay,Electric Pressed Pigment Palette,$24.00,4.7599,http://www.sephora.com/electric-pressed-pigment-palette-P385671,1174.0
8144,Eye Palettes,Urban Decay,Naked Palette,$54.00,4.7768,http://www.sephora.com/naked-palette-P267200,7957.0
8145,Eye Palettes,Viseart,EyeShadow Palette Petit PRO,$30.00,4.2381,http://www.sephora.com/eyeshadow-palette-petit-pro-P416421,36.0
8146,Eye Palettes,Kat Von D,Shade + Light Eye Contour Palette,$48.00,4.7783,http://www.sephora.com/shade-light-eye-contour-palette-P413457,1869.0
8147,Eye Palettes,Too Faced,The Chocolate Bar Eye Palette,$49.00,4.6768,http://www.sephora.com/the-chocolate-bar-eye-palette-P384402,2618.0
8148,Eye Palettes,Viseart,Eyeshadow Palette,$80.00,4.4639,http://www.sephora.com/viseart-eyeshadow-palette-P391306,424.0
8149,Eye Palettes,Too Faced x Kat Von D,Better Together Ultimate Eye Collection,$65.00,3.9115,http://www.sephora.com/too-faced-x-kat-von-d-better-together-ultimate-eye-collection-P63087015,316.0
8150,Eye Palettes,Urban Decay,Naked2 Basics,$29.00,4.4566,http://www.sephora.com/naked2-basics-P388225,1277.0
8151,Eye Palettes,Too Faced,White Chocolate Chip Palette,$26.00,2.5246,http://www.sephora.com/white-chocolate-chip-palette-P63084555,536.0
8152,Eye Palettes,tarte,Rainforest of the Sea™ Eyeshadow Palette,$36.00,4.2434,http://www.sephora.com/rainforest-the-sea-eyeshadow-palette-P405100,688.0
8153,Eye Palettes,Urban Decay,Naked Smoky Palette,$54.00,4.2993,http://www.sephora.com/naked-smoky-P398419,1220.0
8154,Eye Palettes,Urban Decay,Naked Ultimate Basics,$54.00,4.298,http://www.sephora.com/naked-ultimate-basics-P412339,363.0
8155,Eye Palettes,Too Faced,Natural Matte Eye Palette,$36.00,4.6389999999999985,http://www.sephora.com/natural-matte-eye-palette-P393185,621.0
8156,Eye Palettes,Natasha Denona,Star Eyeshadow Palette,$169.00,3.8534,http://www.sephora.com/star-eyeshadow-palette-P413523,117.0
8157,Eye Palettes,Natasha Denona,Eyeshadow Palette 28,$239.00,4.4706,http://www.sephora.com/eyeshadow-palette-28-P411835,53.0
8158,Eye Palettes,tarte,Tartelette Amazonian Clay Matte Eyeshadow Palette,$46.00,4.5198,http://www.sephora.com/tartelette-amazonian-clay-matte-eyeshadow-palette-P391759,1749.0
8159,Eye Palettes,Smashbox,Light It Up 3 Palette Set: Eyes Contour Lips,$22.50,4.2833,http://www.sephora.com/light-it-up-3-palette-set-eyes-contour-lips-P413013,62.0
8160,Eye Palettes,Urban Decay,Moondust Palette,$49.00,4.3872,http://www.sephora.com/moondust-palette-P409955,364.0
8161,Eye Palettes,Too Faced,Natural Eye Neutral Eye Shadow Collection,$36.00,4.6597,http://www.sephora.com/natural-eye-neutral-eye-shadow-collection-P241303,4107.0
8162,Eye Palettes,tarte,Tartelette Tease,$23.00,4.3574,http://www.sephora.com/tartelette-tease-P403813,693.0
8163,Eye Palettes,KEVYN AUCOIN,The Contour Book The Art of Sculpting + Defining Volume II,$65.00,4.7447,http://www.sephora.com/the-contour-book-art-sculpting-defining-volume-ii-P401659,190.0
8164,Eye Palettes,tarte,Rainforest of the Sea™ Eyeshadow Palette Volume II,$36.00,3.8571,http://www.sephora.com/rainforest-the-sea-eyeshadow-palette-volume-ii-P414405,60.0
8165,Eye Palettes,Natasha Denona,Eyeshadow Palette 5,$48.00,4.4615,http://www.sephora.com/eyeshadow-palette-5-P411826,43.0
