category,brand_name,name,price,rating,url,num_review,score
Face Sunscreen,NARS,Pure Radiant Tinted Moisturizer Broad Spectrum SPF 30,45,4.4019,http://www.sephora.com/pure-radiant-tinted-moisturizer-spf-30-pa-P302923,2152.0,1726.5000000000002
Rollerballs & Travel Size,Viktor & Rolf,Flowerbomb Travel Duo,35,4.4973,http://www.sephora.com/flowerbomb-travel-duo-P261810,928.0,746.3000000000001
Rollerballs & Travel Size,Giorgio Armani Beauty,Acqua di Gioia Rollerball,24,4.6812,http://www.sephora.com/acqua-di-gioia-rollerball-P377446,848.0,681.2
Rollerballs & Travel Size,Elizabeth and James,Nirvana Black Rollerball,25,4.5,http://www.sephora.com/nirvana-black-rollerball-P384462,339.0,274.09999999999997
Rollerballs & Travel Size,Elizabeth and James,Nirvana White Rollerball,25,4.3811,http://www.sephora.com/nirvana-white-rollerball-P384464,265.0,214.9
Rollerballs & Travel Size,LAVANILA,Vanilla Coconut Roller-Ball,19,4.4331,http://www.sephora.com/vanilla-coconut-roller-ball-P237119,254.0,205.50000000000003
Mists & Essences,Caudalie,Beauty Elixir,18,4.3017,http://www.sephora.com/beauty-elixir-P6025,2380.0,1906.2
Mists & Essences,Evian,Mineral Water Spray Duo To Go,15,4.582,http://www.sephora.com/mineral-water-spray-duo-to-go-P230538,1324.0,1061.1000000000001
Mists & Essences,Smashbox,Photo Finish Primer Water,16,4.0719,http://www.sephora.com/smashbox-photo-finish-primer-water-P392347,860.0,690.0
Mists & Essences,MAKE UP FOR EVER,Mist & Fix Setting Spray,14,4.2527,http://www.sephora.com/mist-fix-setting-spray-P386660,741.0,594.6
Mists & Essences,Supergoop!,Defense Refresh Setting Mist SPF 50,12,3.3263,http://www.sephora.com/defense-refresh-setting-mist-spf-50-P396249,669.0,536.7
Color Correct,MAKE UP FOR EVER,Step 1 Skin Equalizer Primer,17,3.6393,http://www.sephora.com/step-1-skin-equalizer-primer-P393965,2098.0,1680.4
Color Correct,Smashbox,Photo Finish Color Correcting Foundation Primer,16,3.8985,http://www.sephora.com/photo-finish-color-correcting-foundation-primer-P78811,1974.0,1581.1000000000001
Color Correct,Benefit Cosmetics,Lemon-Aid Color-Correcting Eyelid Primer,20,4.1969,http://www.sephora.com/lemon-aid-P1283,1295.0,1038.4
Color Correct,Laura Mercier,Eye Basics,28,4.4374,http://www.sephora.com/eye-basics-P109927,1183.0,949.6000000000001
Color Correct,Bobbi Brown,Corrector,25,4.3345,http://www.sephora.com/corrector-P270555,1129.0,906.1
Blush,NARS,Blush,30,4.6709,http://www.sephora.com/blush-P2855,16428.0,13145.800000000001
Blush,tarte,Amazonian Clay 12-Hour Blush,28,4.6326,http://www.sephora.com/amazonian-clay-12-hour-blush-P278610,4279.0,3426.4
Blush,Benefit Cosmetics,Benetint Cheek & Lip Stain,30,4.2627,http://www.sephora.com/benetint-cheek-lip-stain-P1272,2738.0,2193.8
Blush,NARS,The Multiple,39,4.3558,http://www.sephora.com/the-multiple-P2866,2509.0,2011.5
Blush,NARS,Blush/Bronzer Duo,24,4.4972,http://www.sephora.com/blush-bronzer-duo-P104006,2472.0,1980.4
Shaving,Jack Black,Beard Lube® Conditioning Shave,11,4.7915,http://www.sephora.com/beard-lube-conditioning-shave-P12569,422.0,339.1
Shaving,Anthony,Shave Cream,18,4.7696,http://www.sephora.com/shave-cream-P9022,191.0,155.0
Shaving,The Art of Shaving,Shaving Cream - Unscented,17,4.7099,http://www.sephora.com/shaving-cream-unscented-P225342,131.0,106.9
Shaving,Anthony,Ingrown Hair Treatment,32,4.2033,http://www.sephora.com/ingrown-hair-treatment-P170545,123.0,102.0
Shaving,Jack Black,Supreme Cream Triple Cushion™ Shave Lather,13,4.824,http://www.sephora.com/supreme-cream-triple-cushion-shave-lather-P183733,125.0,101.7
Frizz,Living Proof,Prime Style Extender™,12,4.3771,http://www.sephora.com/prime-style-extender-P375668,1420.0,1137.6
Frizz,Bumble and bumble,Hairdresser’s Invisible Oil,22,4.5,http://www.sephora.com/hairdresser-s-invisible-oil-P375391,1344.0,1077.8
Frizz,ALTERNA Haircare,CAVIAR CC Cream for Hair 10-in-1 Complete Correction,25,4.2898,http://www.sephora.com/caviar-cc-cream-for-hair-10-in-1-complete-correction-P378716,1020.0,818.9
Frizz,Ouidad,Climate Control® Heat & Humidity Gel,26,4.2347,http://www.sephora.com/climate-control-heat-humidity-gel-P242148,969.0,778.2
Frizz,Bumble and bumble,Hairdresser’s Invisible Oil Primer,12,4.5767,http://www.sephora.com/hairdresser-s-invisible-oil-primer-P386464,874.0,700.8000000000001
Face Wash & Cleansers,philosophy,Purity Made Simple,11,4.5479,http://www.sephora.com/purity-made-simple-P7109,10290.0,8233.5
Face Wash & Cleansers,Fresh,Soy Face Cleanser,15,4.418,http://www.sephora.com/soy-face-cleanser-P7880,4935.0,3949.9
Face Wash & Cleansers,philosophy,The Microdelivery Exfoliating Facial Wash,28,4.6203,http://www.sephora.com/the-microdelivery-exfoliating-wash-P184109,2970.0,2379.2
Face Wash & Cleansers,First Aid Beauty,Face Cleanser,5,4.3781,http://www.sephora.com/face-cleanser-P248404,2626.0,2101.7000000000003
Face Wash & Cleansers,boscia,MakeUp-BreakUp Cool Cleansing Oil,10,4.4689,http://www.sephora.com/makeup-breakup-cool-cleansing-oil-P254604,2174.0,1740.6000000000001
Spa Tools,Clarisonic,Replacement Brush Head,27,4.6331,http://www.sephora.com/replacement-brush-head-P381575,885.0,711.1
Spa Tools,Clarisonic,Replacement Brush Head,27,4.6478,http://www.sephora.com/replacement-brush-head-P229205,849.0,682.3000000000001
Spa Tools,Clarisonic,Replacement Brush Head Twin-Pack,44,4.7075,http://www.sephora.com/replacement-brush-head-twin-pack-P393081,696.0,561.6
Spa Tools,Clarisonic,Replacement Brush Head Twin-Pack,44,4.7237,http://www.sephora.com/replacement-brush-head-twin-pack-P256821,656.0,529.6
Spa Tools,Foreo,LUNA™ mini,99,4.44,http://www.sephora.com/luna-mini-P387258,453.0,372.70000000000005
Damaged Hair,ALTERNA Haircare,CAVIAR CC Cream for Hair 10-in-1 Complete Correction,25,4.2898,http://www.sephora.com/caviar-cc-cream-for-hair-10-in-1-complete-correction-P378716,1020.0,818.9
Damaged Hair,Madam C.J. Walker Beauty Culture,Dream Come True Wonderful Pre-Wash Protein Treatment,32,4.5899,http://www.sephora.com/dream-come-true-wonderful-pre-wash-protein-treatment-P407182,952.0,765.2
Damaged Hair,ALTERNA Haircare,Bamboo Smooth Kendi Oil Dry Oil Mist,25,4.5501,http://www.sephora.com/bamboo-smooth-kendi-oil-dry-oil-mist-P278004,810.0,650.9
Damaged Hair,Living Proof,Perfect Hair Day™ 5-in-1 Styling Treatment,15,4.2306,http://www.sephora.com/perfect-hair-day-5-in-1-styling-treatment-P383223,746.0,598.7
Damaged Hair,Briogeo,"Don’t Despair, Repair!™ Deep Conditioning Mask",9,3.972,http://www.sephora.com/dont-despair-repair-deep-conditioning-mask-P388628,723.0,579.6
Cologne,Yves Saint Laurent,L’Homme,19,4.8596,http://www.sephora.com/l-homme-P180727,770.0,618.3
Cologne,Ralph Lauren,Polo Blue Eau de Parfum,36,4.7119,http://www.sephora.com/polo-blue-eau-de-parfum-P408252,611.0,492.8
Cologne,Viktor & Rolf,Spicebomb,55,4.6854,http://www.sephora.com/spicebomb-P376737,391.0,318.7
Cologne,Elizabeth and James,Nirvana Bourbon,25,4.1852,http://www.sephora.com/nirvana-bourbon-P410640,385.0,310.9
Cologne,DOLCE&GABBANA,Light Blue Pour Homme,56,4.7565,http://www.sephora.com/light-blue-pour-homme-P186402,346.0,282.8
Eyeliner,Urban Decay,24/7 Glide-On Eye Pencil,20,4.4219,http://www.sephora.com/24-7-glide-on-eye-pencil-P133707,14302.0,11444.0
Eyeliner,Kat Von D,Tattoo Liner,20,4.2768,http://www.sephora.com/tattoo-liner-P245205,9688.0,7752.8
Eyeliner,stila,Stay All Day® Waterproof Liquid Eye Liner,22,4.412,http://www.sephora.com/stay-all-day-waterproof-liquid-eye-liner-P253818,8523.0,6821.000000000001
Eyeliner,SEPHORA COLLECTION,Retractable Waterproof Eyeliner,12,4.2857,http://www.sephora.com/retractable-waterproof-eyeliner-P230234,5246.0,4198.400000000001
Eyeliner,Benefit Cosmetics,They’re Real! Push-Up Liner,12,2.7092,http://www.sephora.com/theyre-real-push-up-liner-P386915,4331.0,3466.2000000000003
Eye Brushes,Kat Von D,Lock-It Edge Concealer Brush,24,4.6057,http://www.sephora.com/lock-it-edge-concealer-brush-P409975,1266.0,1015.6
Eye Brushes,Anastasia Beverly Hills,Brush #12,18,4.7469,http://www.sephora.com/brush-12-P384059,892.0,715.8000000000001
Eye Brushes,Anastasia Beverly Hills,Brush #7B,18,4.5366,http://www.sephora.com/brush-7b-P69517,464.0,373.40000000000003
